,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
0,2019-03-20,0,0,100000.0,0.0,100000.0,100000.0
1,2019-03-20,0,0,100000.0,0.0,100000.0,100000.0
2,2019-03-21,0,0,100000.0,0.0,100000.0,100954.47450615073
3,2019-03-22,0,0,100000.0,0.0,100000.0,99110.45040732471
4,2019-03-25,10,9,13516.94049835205,86483.05950164795,100000.0,99028.80894569158
5,2019-03-26,0,9,13516.94049835205,87054.6459197998,100571.58641815186,99948.80904039547
6,2019-03-27,0,9,13516.94049835205,86632.20329284668,100149.14379119873,99451.22906394873
7,2019-03-28,0,9,13516.94049835205,86920.31211853027,100437.25261688232,99807.82392934263
8,2019-03-29,9,0,101014.94388580322,0.0,101014.94388580322,100478.88666190859
9,2019-04-01,10,8,7841.9023513793945,93173.04153442383,101014.94388580322,101646.54476742515
10,2019-04-02,0,8,7841.9023513793945,93293.14041137695,101135.04276275635,101441.37247445497
11,2019-04-03,0,8,7841.9023513793945,93493.13659667969,101335.03894805908,101643.20878422288
12,2019-04-04,0,8,7841.9023513793945,93937.27035522461,101779.172706604,101932.00701807109
13,2019-04-05,8,0,102803.93352508545,0.0,102803.93352508545,102287.5289783707
14,2019-04-08,10,8,565.8319473266602,102238.10157775879,102803.93352508545,102381.97527372051
15,2019-04-09,0,8,565.8319473266602,101330.05867004395,101895.8906173706,101771.98376433208
16,2019-04-10,0,8,565.8319473266602,101537.37602233887,102103.20796966553,102067.16492997496
17,2019-04-11,0,8,565.8319473266602,101634.41047668457,102200.24242401123,102100.35450419891
18,2019-04-12,8,0,102523.78787994385,0.0,102523.78787994385,102930.32176777252
19,2019-04-15,10,6,1825.0764846801758,100698.71139526367,102523.78787994385,102829.34034541424
20,2019-04-16,0,6,1825.0764846801758,100850.8321762085,102675.90866088867,103189.68218362851
21,2019-04-17,0,6,1825.0764846801758,100156.06956481934,101981.14604949951,103070.13700697788
22,2019-04-18,0,6,1825.0764846801758,100192.75779724121,102017.83428192139,103218.07617220329
23,2019-04-22,10,7,957.3441505432129,100806.89287185669,101764.2370223999,103128.39916557528
24,2019-04-23,0,7,957.3441505432129,102469.8429107666,103427.18706130981,103928.28286665713
25,2019-04-24,0,7,957.3441505432129,102876.39398574829,103833.7381362915,103674.55112527906
26,2019-04-25,0,7,957.3441505432129,103111.48862838745,104068.83277893066,103294.66891429691
27,2019-04-26,7,0,104683.88385772705,0.0,104683.88385772705,103850.48724821082
28,2019-04-29,10,8,5445.533180236816,99238.35067749023,104683.88385772705,104156.40177433354
29,2019-04-30,0,8,5445.533180236816,99446.99440002441,104892.52758026123,104492.2667513081
30,2019-05-01,0,8,5445.533180236816,98549.69596862793,103995.22914886475,103708.07137181234
31,2019-05-02,0,8,5445.533180236816,98456.03141784668,103901.5645980835,103493.88606495896
32,2019-05-03,8,0,105284.43927764893,0.0,105284.43927764893,104452.81465482156
33,2019-05-06,10,9,2322.9413986206055,102961.49787902832,105284.43927764893,103956.37990479183
34,2019-05-07,0,9,2322.9413986206055,101154.06074523926,103477.00214385986,102287.29692882417
35,2019-05-08,0,9,2322.9413986206055,100710.00537872314,103032.94677734375,102011.02916283319
36,2019-05-09,0,9,2322.9413986206055,100669.51141357422,102992.45281219482,101820.7096060739
37,2019-05-10,9,0,103324.73278045654,0.0,103324.73278045654,102431.6960422271
38,2019-05-13,10,9,37137.79697418213,66186.93580627441,103324.73278045654,100058.95867186731
39,2019-05-14,0,9,37137.79697418213,66987.00866699219,104124.80564117432,100944.13900740293
40,2019-05-15,0,9,37137.79697418213,67463.0012512207,104600.79822540283,101375.44969173183
41,2019-05-16,0,9,37137.79697418213,68214.16397094727,105351.9609451294,102224.30733400237
42,2019-05-17,9,0,105158.22811126709,0.0,105158.22811126709,101617.68958291922
43,2019-05-20,10,8,4258.138465881348,100900.08964538574,105158.22811126709,101045.40400572341
44,2019-05-21,0,8,4258.138465881348,101760.93559265137,106019.07405853271,101746.65955919452
45,2019-05-22,0,8,4258.138465881348,102914.60571289062,107172.74417877197,101295.49868098985
46,2019-05-23,0,8,4258.138465881348,102107.84072875977,106365.97919464111,100175.67323530451
47,2019-05-24,8,0,106478.25565338135,0.0,106478.25565338135,100301.21541999046
48,2019-05-28,0,0,106478.25565338135,0.0,106478.25565338135,99174.91537060609
49,2019-05-29,0,0,106478.25565338135,0.0,106478.25565338135,98635.18560539106
50,2019-05-30,0,0,106478.25565338135,0.0,106478.25565338135,98789.083194857
51,2019-05-31,0,0,106478.25565338135,0.0,106478.25565338135,97443.38815776695
52,2019-06-03,10,10,4809.384346008301,101668.87130737305,106478.25565338135,97742.29916636557
53,2019-06-04,0,10,4809.384346008301,104334.85488891602,109144.23923492432,99925.74564698769
54,2019-06-05,0,10,4809.384346008301,105658.11920166016,110467.50354766846,100543.89968633307
55,2019-06-06,0,10,4809.384346008301,105887.50991821289,110696.89426422119,101122.3482461966
56,2019-06-07,10,0,111731.68354034424,0.0,111731.68354034424,101987.47104273461
57,2019-06-10,10,9,13651.481819152832,98080.2017211914,111731.68354034424,102344.83778101615
58,2019-06-11,0,9,13651.481819152832,97691.60385131836,111343.08567047119,102335.92078984111
59,2019-06-12,0,9,13651.481819152832,97817.74940490723,111469.23122406006,102182.21421443569
60,2019-06-13,0,9,13651.481819152832,97811.9857788086,111463.46759796143,102640.35171372141
61,2019-06-14,9,0,111650.75168609619,0.0,111650.75168609619,102448.90670110994
62,2019-06-17,10,5,3265.415382385254,108385.33630371094,111650.75168609619,102476.66929781088
63,2019-06-18,0,5,3265.415382385254,110289.97764587402,113555.39302825928,103375.11260134676
64,2019-06-19,0,5,3265.415382385254,111364.56260681152,114629.97798919678,103607.23724772035
65,2019-06-20,0,5,3265.415382385254,113548.80981445312,116814.22519683838,104639.78960287121
66,2019-06-21,5,0,117207.4785232544,0.0,117207.4785232544,104486.11227468078
67,2019-06-24,10,9,26855.259132385254,90352.21939086914,117207.4785232544,104176.90364358739
68,2019-06-25,0,9,26855.259132385254,88973.83880615234,115829.0979385376,103242.85386578104
69,2019-06-26,0,9,26855.259132385254,89306.81991577148,116162.07904815674,103110.34700872355
70,2019-06-27,0,9,26855.259132385254,89822.35565185547,116677.61478424072,103572.34730763524
71,2019-06-28,9,0,117620.84102630615,0.0,117620.84102630615,104116.20008113458
72,2019-07-01,10,8,1693.6052322387695,115927.23579406738,117620.84102630615,104899.5390168492
73,2019-07-02,0,8,1693.6052322387695,116126.93481445312,117820.5400466919,105183.39854662625
74,2019-07-03,0,8,1693.6052322387695,117244.83985900879,118938.44509124756,106017.18773271271
75,2019-07-05,8,0,118452.3229598999,0.0,118452.3229598999,105774.0782545918
76,2019-07-08,10,8,17204.184818267822,101248.13814163208,118452.3229598999,105169.61006246478
77,2019-07-09,0,8,17204.184818267822,101256.778049469,118460.96286773682,105226.24055424026
78,2019-07-10,0,8,17204.184818267822,101255.02977371216,118459.21459197998,105612.62175660483
79,2019-07-11,0,8,17204.184818267822,101993.42088699341,119197.60570526123,105954.83553333598
80,2019-07-12,8,0,119484.65776443481,0.0,119484.65776443481,106591.10927282694
81,2019-07-15,10,9,6427.527332305908,113057.1304321289,119484.65776443481,106669.98867388736
82,2019-07-16,0,9,6427.527332305908,112619.47135925293,119046.99869155884,106445.55528890646
83,2019-07-17,0,9,6427.527332305908,111374.8664855957,117802.39381790161,105796.78264066721
84,2019-07-18,0,9,6427.527332305908,107755.45768737793,114182.98501968384,106296.55969953377
85,2019-07-19,9,0,113018.09892654419,0.0,113018.09892654419,105785.67934528415
86,2019-07-22,10,7,4576.30090713501,108441.79801940918,113018.09892654419,105940.35237516642
87,2019-07-23,0,7,4576.30090713501,109091.48597717285,113667.78688430786,106748.23115277689
88,2019-07-24,0,7,4576.30090713501,109185.7738494873,113762.07475662231,107343.95153485173
89,2019-07-25,0,7,4576.30090713501,108278.32069396973,112854.62160110474,106670.72892026536
90,2019-07-26,7,0,113371.19989395142,0.0,113371.19989395142,107465.72225605788
91,2019-07-29,10,8,10917.35258102417,102453.84731292725,113371.19989395142,107304.03519730746
92,2019-07-30,0,8,10917.35258102417,101898.77910614014,112816.1316871643,106924.93170220207
93,2019-07-31,0,8,10917.35258102417,100842.84954071045,111760.20212173462,105646.20917221015
94,2019-08-01,0,8,10917.35258102417,99809.5199584961,110726.87253952026,104497.70726228002
95,2019-08-02,8,0,110235.62746047974,0.0,110235.62746047974,103848.99463844804
96,2019-08-05,10,8,6461.684894561768,103773.94256591797,110235.62746047974,100922.24512758855
97,2019-08-06,0,8,6461.684894561768,104928.81164550781,111390.49654006958,102145.86111547604
98,2019-08-07,0,8,6461.684894561768,104522.60818481445,110984.29307937622,102170.78875572703
99,2019-08-08,0,8,6461.684894561768,107551.59769058228,114013.28258514404,103885.08970576191
100,2019-08-09,8,0,112384.68351364136,0.0,112384.68351364136,103226.85427640495
101,2019-08-12,10,10,40378.95488739014,72005.72862625122,112384.68351364136,101971.72248924315
102,2019-08-13,0,10,40378.95488739014,72907.99493789673,113286.94982528687,103362.18542309655
103,2019-08-14,0,10,40378.95488739014,70428.8314819336,110807.78636932373,100440.51781885256
104,2019-08-15,0,10,40378.95488739014,70638.27981948853,111017.23470687866,100534.56372774449
105,2019-08-16,10,0,112038.45586776733,0.0,112038.45586776733,102081.49409375018
106,2019-08-19,10,10,46348.138999938965,65690.31686782837,112038.45586776733,103314.31941297834
107,2019-08-20,0,10,46348.138999938965,65269.853591918945,111617.99259185791,102484.66573559394
108,2019-08-21,0,10,46348.138999938965,66518.5486793518,112866.68767929077,103509.32370367326
109,2019-08-22,0,10,46348.138999938965,66556.6481590271,112904.78715896606,103592.3755957943
110,2019-08-23,10,0,111473.96545410156,0.0,111473.96545410156,101015.68103666084
111,2019-08-26,10,10,40901.2393951416,70572.72605895996,111473.96545410156,102127.54846273818
112,2019-08-27,0,10,40901.2393951416,70433.96453857422,111335.20393371582,101803.56651181953
113,2019-08-28,0,10,40901.2393951416,71027.14881896973,111928.38821411133,102572.48575860148
114,2019-08-29,0,10,40901.2393951416,72230.81378936768,113132.05318450928,103872.08524264133
