,dt,ticker,type,price,shares,amount,cash_left,transaction_cost,pnl
0,2019-04-02,WBA,1,48.16727828979492,207.0,9970.626605987549,90029.37339401245,0.0,0.0
1,2019-04-02,CVS,1,47.23352813720703,211.0,9966.274436950684,80063.09895706177,0.0,0.0
2,2019-04-02,BMY,1,41.81314468383789,239.0,9993.341579437256,70069.75737762451,0.0,0.0
3,2019-04-02,CHTR,1,346.6300048828125,28.0,9705.64013671875,60364.11724090576,0.0,0.0
4,2019-04-02,KHC,1,27.126949310302734,368.0,9982.717346191406,50381.399894714355,0.0,0.0
5,2019-04-02,COP,1,58.30867004394531,171.0,9970.782577514648,40410.61731719971,0.0,0.0
6,2019-04-02,NEE,1,44.027442932128906,227.0,9994.229545593262,30416.387771606445,0.0,0.0
7,2019-04-02,TMUS,1,69.7300033569336,143.0,9971.390480041504,20444.99729156494,0.0,0.0
8,2019-04-02,VZ,1,50.136497497558594,199.0,9977.16300201416,10467.834289550781,0.0,0.0
9,2019-04-02,WFC,1,43.618614196777344,229.0,9988.662651062012,479.17163848876953,0.0,0.0
10,2019-04-03,WBA,0,47.71484375,207.0,9876.97265625,10356.14429473877,0.0,-93.65394973754883
11,2019-04-03,CVS,0,47.831520080566406,211.0,10092.450736999512,20448.59503173828,0.0,126.17630004882812
12,2019-04-03,BMY,0,41.974308013916016,239.0,10031.859615325928,30480.45464706421,0.0,38.518035888671875
13,2019-04-03,CHTR,0,345.3699951171875,28.0,9670.35986328125,40150.81451034546,0.0,-35.2802734375
14,2019-04-03,KHC,0,27.27069664001465,368.0,10035.61636352539,50186.43087387085,0.0,52.899017333984375
15,2019-04-03,COP,0,57.570472717285156,171.0,9844.550834655762,60030.98170852661,0.0,-126.23174285888672
16,2019-04-03,NEE,0,43.98793411254883,227.0,9985.261043548584,70016.2427520752,0.0,-8.968502044677734
17,2019-04-03,TMUS,0,69.0,143.0,9867.0,79883.2427520752,0.0,-104.3904800415039
18,2019-04-03,VZ,0,50.4277458190918,199.0,10035.121417999268,89918.36417007446,0.0,57.95841598510742
19,2019-04-03,WFC,0,44.20671081542969,229.0,10123.336776733398,100041.70094680786,0.0,134.67412567138672
20,2019-04-03,WBA,1,47.71484375,1.0,47.71484375,99993.98610305786,0.0,0.0
21,2019-04-03,MO,1,41.196044921875,1.0,41.196044921875,99952.79005813599,0.0,0.0
22,2019-04-03,PM,1,70.25467681884766,0.0,0.0,99952.79005813599,0.0,0.0
23,2019-04-03,COP,1,57.570472717285156,0.0,0.0,99952.79005813599,0.0,0.0
24,2019-04-03,MDT,1,81.52393341064453,0.0,0.0,99952.79005813599,0.0,0.0
25,2019-04-03,CVS,1,47.831520080566406,1.0,47.831520080566406,99904.95853805542,0.0,0.0
26,2019-04-03,TMUS,1,69.0,0.0,0.0,99904.95853805542,0.0,0.0
