,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
0,2019-03-20,0,0,100000.0,0.0,100000.0,100000.0
1,2019-03-21,0,0,100000.0,0.0,100000.0,100954.4736485701
2,2019-03-22,0,0,100000.0,0.0,100000.0,99110.4523198925
3,2019-03-25,0,0,100000.0,0.0,100000.0,99028.80705184618
4,2019-03-26,0,0,100000.0,0.0,100000.0,99948.80768878484
5,2019-03-27,0,0,100000.0,0.0,100000.0,99451.23073174
6,2019-03-28,0,0,100000.0,0.0,100000.0,99807.8238256468
7,2019-03-29,0,0,100000.0,0.0,100000.0,100478.88896129798
8,2019-04-01,0,0,100000.0,0.0,100000.0,101646.54205325812
9,2019-04-02,0,0,100000.0,0.0,100000.0,101441.37182167849
10,2019-04-03,0,0,100000.0,0.0,100000.0,101643.20765470223
11,2019-04-04,0,0,100000.0,0.0,100000.0,101932.00807080568
12,2019-04-05,0,0,100000.0,0.0,100000.0,102287.52984650189
13,2019-04-08,0,0,100000.0,0.0,100000.0,102381.9765879717
14,2019-04-09,0,0,100000.0,0.0,100000.0,101771.98265678454
15,2019-04-10,0,0,100000.0,0.0,100000.0,102067.16369167974
16,2019-04-11,0,0,100000.0,0.0,100000.0,102100.35633665163
17,2019-04-12,0,0,100000.0,0.0,100000.0,102930.32133294096
18,2019-04-15,0,0,100000.0,0.0,100000.0,102829.34183563715
19,2019-04-16,0,0,100000.0,0.0,100000.0,103189.6811886067
20,2019-04-17,0,0,100000.0,0.0,100000.0,103070.13564705792
21,2019-04-18,0,0,100000.0,0.0,100000.0,103218.07544553296
22,2019-04-22,0,0,100000.0,0.0,100000.0,103128.39789492989
23,2019-04-23,0,0,100000.0,0.0,100000.0,103928.2796554374
24,2019-04-24,0,0,100000.0,0.0,100000.0,103674.55144215966
25,2019-04-25,0,0,100000.0,0.0,100000.0,103294.66740904066
26,2019-04-26,0,0,100000.0,0.0,100000.0,103850.48481254624
27,2019-04-29,0,0,100000.0,0.0,100000.0,104156.40163684556
28,2019-04-30,0,0,100000.0,0.0,100000.0,104492.26573907599
29,2019-05-01,0,0,100000.0,0.0,100000.0,103708.07265601133
30,2019-05-02,0,0,100000.0,0.0,100000.0,103493.88597424496
31,2019-05-03,2,2,51.64862823486328,99948.35137176514,100000.0,104452.81397620056
32,2019-05-06,2,2,51.64862823486328,99503.18410491943,99554.8327331543,103956.37878153492
33,2019-05-07,2,2,51.64862823486328,98102.14831542969,98153.79694366455,102287.29698921398
34,2019-05-08,1,2,51.64862823486328,97960.27382659912,98011.92245483398,102011.02785504228
35,2019-05-09,2,2,20.49454498290288,97837.15249633789,97857.6470413208,101820.71114070542
36,2019-05-10,0,2,20.49454498290288,97441.21630859375,97461.71085357666,102431.69617733333
37,2019-05-13,1,1,47480.622779846184,47647.20041656494,95127.82319641113,100058.95930910627
38,2019-05-14,0,1,47480.622779846184,47657.57251739502,95138.19529724121,100944.13656049511
39,2019-05-15,2,3,201.53505706786382,95684.07435607912,95885.60941314697,101375.44980567115
40,2019-05-16,1,2,49115.165451049805,47735.154296875,96850.3197479248,102224.3048580563
41,2019-05-17,0,2,49115.165451049805,48011.00801086426,97126.17346191406,101617.6899409718
42,2019-05-20,0,2,49115.165451049805,47564.94071960449,96680.1061706543,101045.40299312916
43,2019-05-21,1,3,2.681110382080078,96613.23746871948,96615.91857910156,101746.66122849933
44,2019-05-22,2,3,2.681110382080078,97078.90083312988,97081.58194351196,101295.50003055585
45,2019-05-23,3,3,2.681110382080078,97325.89949798584,97328.58060836792,100175.671487779
46,2019-05-24,1,3,2.681110382080078,97512.82976913452,97515.5108795166,100301.21538971546
47,2019-05-28,3,3,2.681110382080078,96676.87576675415,96679.55687713623,99174.91429342645
48,2019-05-29,0,3,2.681110382080078,96181.43145370483,96184.11256408691,98635.1855201204
49,2019-05-30,1,3,2.681110382080078,96550.72146606445,96553.40257644653,98789.08242534936
50,2019-05-31,1,2,46342.08292770386,48814.76037597656,95156.84330368042,97443.38949326093
51,2019-06-03,0,2,46342.08292770386,49043.71089172363,95385.79381942749,97742.29937720647
52,2019-06-04,0,2,46342.08292770386,48868.816162109375,95210.89908981323,99925.74329430077
53,2019-06-05,0,2,46342.08292770386,50073.792541503906,96415.87546920776,100543.90057815028
54,2019-06-06,0,2,46342.08292770386,50201.57295227051,96543.65587997437,101122.34727740737
55,2019-06-07,2,4,78.05786132811772,96269.54124069214,96347.59910202026,101987.47068765611
56,2019-06-10,2,4,78.05786132811772,95934.54964447021,96012.60750579834,102344.83812094272
57,2019-06-11,3,4,78.05786132811772,95916.79903411865,95994.85689544678,102335.92019200228
58,2019-06-12,2,4,78.05786132811772,96378.44772720337,96456.5055885315,102182.21390501053
59,2019-06-13,5,4,78.05786132811772,96374.12253189087,96452.180393219,102640.35071015137
60,2019-06-14,3,4,78.05786132811772,96934.10807037354,97012.16593170166,102448.90599666617
61,2019-06-17,4,5,59.40393638610112,96683.82165718079,96743.2255935669,102476.67172364405
62,2019-06-18,1,6,11.048509597771044,96763.57107543945,96774.61958503723,103375.11262348742
63,2019-06-19,2,6,11.048509597771044,97217.238489151,97228.28699874878,103607.23694063236
64,2019-06-20,5,6,11.048509597771044,97692.04668617249,97703.09519577026,104639.78867645643
65,2019-06-21,4,6,11.048509597771044,97488.29456138611,97499.34307098389,104486.11037792795
66,2019-06-24,3,6,11.048509597771044,97751.10408592224,97762.15259552002,104176.9030587642
67,2019-06-25,4,6,11.048509597771044,96822.34523200989,96833.39374160767,103242.85591471584
68,2019-06-26,3,6,11.048509597771044,95397.27036857605,95408.31887817383,103110.34771061539
69,2019-06-27,2,6,11.048509597771044,95759.51237487793,95770.56088447571,103572.34652857072
70,2019-06-28,1,6,11.048509597771044,95790.28534126282,95801.3338508606,104116.19958757354
71,2019-07-01,2,6,11.048509597771044,95882.97523117065,95894.02374076843,104899.53787912309
72,2019-07-02,3,6,11.048509597771044,96897.01706314087,96908.06557273865,105183.39700014109
73,2019-07-03,1,6,11.048509597771044,98258.39605331421,98269.44456291199,106017.18882247132
74,2019-07-05,3,6,11.048509597771044,98041.92017364502,98052.9686832428,105774.0791564853
75,2019-07-08,1,6,11.048509597771044,98089.57378005981,98100.6222896576,105169.60849794188
76,2019-07-09,0,6,11.048509597771044,98113.51614379883,98124.5646533966,105226.24044049086
77,2019-07-10,2,6,11.048509597771044,98409.21487617493,98420.2633857727,105612.62129661924
78,2019-07-11,3,6,11.048509597771044,98516.1160736084,98527.16458320618,105954.8369340345
79,2019-07-12,1,6,11.048509597771044,98466.54271507263,98477.59122467041,106591.11065508571
80,2019-07-15,0,6,11.048509597771044,98576.06126785278,98587.10977745056,106669.98793491669
81,2019-07-16,0,6,11.048509597771044,98344.85077095032,98355.8992805481,106445.55819641412
82,2019-07-17,1,6,11.048509597771044,99058.89249038696,99069.94099998474,105796.78206616147
83,2019-07-18,2,6,11.048509597771044,99832.23305892944,99843.28156852722,106296.55880947238
84,2019-07-19,1,6,11.048509597771044,98967.25046920776,98978.29897880554,105785.67975747342
85,2019-07-22,0,6,11.048509597771044,99265.65615081787,99276.70466041565,105940.35327761281
86,2019-07-23,0,6,11.048509597771044,99025.72849655151,99036.77700614929,106748.2301317238
87,2019-07-24,4,6,11.048509597771044,99107.73119354248,99118.77970314026,107343.94944767753
88,2019-07-25,2,6,0.7334461212085444,98915.85095787048,98916.5844039917,106670.72981248556
89,2019-07-26,0,6,0.7334461212085444,100497.0719947815,100497.80544090271,107465.72237232784
90,2019-07-29,0,6,0.7334461212085444,100383.84141540527,100384.57486152649,107304.03669167032
91,2019-07-30,1,6,0.7334461212085444,101254.11730194092,101254.85074806213,106924.9319618885
92,2019-07-31,1,5,18.68620300292241,100392.29042434692,100410.97662734985,105646.20786790678
93,2019-08-01,0,5,18.68620300292241,99162.39003372192,99181.07623672485,104497.70616578206
94,2019-08-02,0,5,18.68620300292241,99316.69747161865,99335.38367462158,103848.99481112976
