,dt,bid_count,position_count,cash_value,positions_value,total_value
0,2019-09-10,100,100,7226.53224945066,92588.29116821289,99814.82341766355
1,2019-09-11,0,100,7226.53224945066,93338.353723526,100564.88597297666
2,2019-09-12,0,100,7226.53224945066,93494.92818069458,100721.46043014523
3,2019-09-13,0,100,7226.53224945066,93513.76537132263,100740.29762077329
4,2019-09-16,0,100,7226.53224945066,93081.79422187805,100308.3264713287
5,2019-09-17,0,100,7226.53224945066,93206.081407547,100432.61365699765
6,2019-09-18,0,100,7226.53224945066,93119.88731765747,100346.41956710813
7,2019-09-19,0,100,7226.53224945066,93109.4282207489,100335.96047019956
8,2019-09-20,0,100,7226.53224945066,92779.34823608398,100005.88048553464
9,2019-09-23,0,100,7226.53224945066,92721.17599105835,99947.708240509
10,2019-09-24,0,100,7226.53224945066,91848.71493339539,99075.24718284604
11,2019-09-25,0,100,7226.53224945066,92383.7012758255,99610.23352527615
12,2019-09-26,0,100,7226.53224945066,92224.70004081726,99451.23229026792
13,2019-09-27,0,100,7226.53224945066,91954.62683677673,99181.15908622739
14,2019-09-30,0,100,7226.53224945066,92360.36438369751,99586.89663314816
15,2019-10-01,0,100,7226.53224945066,90957.32416343689,98183.85641288754
16,2019-10-02,0,100,7226.53224945066,89184.41642189026,96410.94867134091
17,2019-10-03,0,100,7226.53224945066,89824.94739818573,97051.47964763638
18,2019-10-04,0,100,7226.53224945066,91071.02747917175,98297.55972862241
19,2019-10-07,0,100,7226.53224945066,90744.67685699463,97971.20910644528
20,2019-10-08,0,100,7226.53224945066,89302.35737800598,96528.88962745664
21,2019-10-09,0,100,7226.53224945066,90063.93148612976,97290.46373558042
22,2019-10-10,0,100,7226.53224945066,90749.52346229553,97976.05571174619
23,2019-10-11,0,100,7226.53224945066,91820.56282234192,99047.09507179257
24,2019-10-14,0,100,7226.53224945066,91761.02305030823,98987.55529975888
25,2019-10-15,0,100,7226.53224945066,92722.94453239441,99949.47678184506
26,2019-10-16,0,100,7226.53224945066,92571.14479446411,99797.67704391477
27,2019-10-17,0,100,7226.53224945066,92895.15253448486,100121.68478393552
28,2019-10-18,0,100,7226.53224945066,92562.62850761414,99789.16075706479
29,2019-10-21,0,100,7226.53224945066,93123.27997016907,100349.81221961972
30,2019-10-22,0,100,7226.53224945066,93018.4891910553,100245.02144050595
31,2019-10-23,0,100,7226.53224945066,93140.297290802,100366.82954025266
32,2019-10-24,0,100,7226.53224945066,93238.25192070007,100464.78417015073
33,2019-10-25,0,100,7226.53224945066,93952.64497947693,101179.17722892758
34,2019-10-28,0,100,7226.53224945066,94422.29045295715,101648.82270240781
35,2019-10-29,0,100,7226.53224945066,94295.34062767029,101521.87287712094
36,2019-10-30,0,100,7226.53224945066,94732.58264541626,101959.11489486691
37,2019-10-31,0,100,7226.53224945066,94500.02075958252,101726.55300903317
38,2019-11-01,0,100,7226.53224945066,95528.49050712585,102755.02275657651
39,2019-11-04,0,100,7226.53224945066,96187.97662734985,103414.50887680051
40,2019-11-05,0,100,7226.53224945066,96205.0016784668,103431.53392791745
41,2019-11-06,0,100,7226.53224945066,96396.8647556305,103623.39700508115
42,2019-11-07,0,100,7226.53224945066,96835.13716888428,104061.66941833493
43,2019-11-08,0,100,7226.53224945066,97178.35471725464,104404.8869667053
44,2019-11-11,0,100,7226.53224945066,96987.08780479431,104213.62005424497
45,2019-11-12,0,100,7226.53224945066,97118.96002006531,104345.49226951596
46,2019-11-13,0,100,7226.53224945066,97004.18382835388,104230.71607780454
47,2019-11-14,0,100,7226.53224945066,97003.4212551117,104229.95350456235
48,2019-11-15,0,100,7226.53224945066,97783.17217826843,105009.70442771909
49,2019-11-18,0,100,7226.53224945066,97711.99641799927,104938.52866744992
50,2019-11-19,0,100,7226.53224945066,97557.0961894989,104783.62843894956
51,2019-11-20,0,100,7226.53224945066,97290.27062988281,104516.80287933347
52,2019-11-21,0,100,7226.53224945066,97304.9170627594,104531.44931221005
53,2019-11-22,0,100,7226.53224945066,97511.51364326477,104738.04589271542
54,2019-11-25,0,100,7226.53224945066,98199.61920547485,105426.15145492551
55,2019-11-26,0,100,7226.53224945066,98268.04412269592,105494.57637214658
56,2019-11-27,0,100,7226.53224945066,98642.42081069946,105868.95306015012
57,2019-11-29,0,100,7226.53224945066,98295.65413665771,105522.18638610837
58,2019-12-02,0,100,7226.53224945066,97547.93284606934,104774.46509551999
59,2019-12-03,0,100,7226.53224945066,96828.761013031,104055.29326248166
60,2019-12-04,0,100,7226.53224945066,97432.45607376099,104658.98832321164
61,2019-12-05,0,100,7226.53224945066,97537.85955047607,104764.39179992673
62,2019-12-06,0,100,7226.53224945066,98474.86521339417,105701.39746284482
63,2019-12-09,0,100,7226.53224945066,98350.9020576477,105577.43430709836
64,2019-12-10,0,100,7226.53224945066,98188.7995929718,105415.33184242246
65,2019-12-11,0,100,7226.53224945066,98432.91303253174,105659.4452819824
66,2019-12-12,0,100,7226.53224945066,99534.85591316223,106761.38816261289
67,2019-12-13,0,100,7226.53224945066,99394.03273391724,106620.56498336789
68,2019-12-16,0,100,7226.53224945066,100093.77591133118,107320.30816078183
69,2019-12-17,0,100,7226.53224945066,100205.97428703308,107432.50653648374
70,2019-12-18,0,100,7226.53224945066,100121.47622871399,107348.00847816464
71,2019-12-19,0,100,7226.53224945066,100546.78492164612,107773.31717109677
72,2019-12-20,0,100,7226.53224945066,101007.63718223572,108234.16943168637
73,2019-12-23,0,100,7226.53224945066,101102.88436317444,108329.4166126251
74,2019-12-24,0,100,7226.53224945066,101077.33706855774,108303.8693180084
75,2019-12-26,0,100,7226.53224945066,101464.14075279236,108690.67300224301
