,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
0,2019-09-10,0,0,100000.0,0.0,100000.0,100000.0
1,2019-09-11,0,0,100000.0,0.0,100000.0,100809.75614327598
2,2019-09-12,1,1,92584.33538970948,7400.862884521484,99985.19827423096,100987.54624689053
3,2019-09-13,0,1,92584.33538970948,7338.160705566406,99922.49609527588,101018.94878466289
4,2019-09-16,0,1,92584.33538970948,7303.5308837890625,99887.86627349854,100566.07063496429
5,2019-09-17,0,1,92584.33538970948,7364.365386962891,99948.70077667237,100716.1210733946
6,2019-09-18,1,2,64556.391267395025,35356.0173034668,99912.40857086182,100619.34585905011
7,2019-09-19,0,2,64556.391267395025,35447.314453125,100003.70572052003,100608.28583257181
8,2019-09-20,1,1,71695.87549285889,27791.000366210938,99486.87585906983,100221.47256931667
9,2019-09-23,0,1,71695.87549285889,27744.000244140625,99439.87573699951,100148.39786593309
10,2019-09-24,1,2,60916.97929077149,38004.3815612793,98921.36085205078,99207.975887969
11,2019-09-25,1,1,88604.49255981446,10580.704498291016,99185.19705810548,99775.93833808631
12,2019-09-26,0,1,88604.49255981446,10621.549224853516,99226.04178466798,99606.62173320544
13,2019-09-27,1,2,62243.877905273446,36981.79168701172,99225.66959228516,99282.44569411637
14,2019-09-30,2,2,62361.40808258057,37224.798583984375,99586.20666656495,99724.90857326616
15,2019-10-01,0,2,62361.40808258057,37378.92990112305,99740.33798370362,98240.52553464613
16,2019-10-02,0,2,62361.40808258057,36922.3030090332,99283.71109161378,96333.66408686675
17,2019-10-03,1,3,56668.36633529664,42617.88444519043,99286.25078048707,97036.44906610035
18,2019-10-04,0,3,56668.36633529664,43264.537048339844,99932.90338363648,98384.62433793236
19,2019-10-07,0,3,56668.36633529664,43429.20799255371,100097.57432785035,98018.23746222073
20,2019-10-08,0,3,56668.36633529664,42780.2734375,99448.63977279664,96472.86437181607
21,2019-10-09,1,3,29861.860457611092,69257.0930480957,99118.9535057068,97289.96272200144
22,2019-10-10,1,2,35554.69620132448,66390.38391113281,101945.08011245729,98027.20639568109
23,2019-10-11,0,2,35554.69620132448,67129.67529296875,102684.37149429323,99172.94184333182
24,2019-10-14,0,2,35554.69620132448,67636.35482788086,103191.05102920534,99117.96131668029
25,2019-10-15,2,2,84129.52074203493,18842.054748535156,102971.57549057009,100155.69297449505
26,2019-10-16,0,2,84129.52074203493,18857.986450195312,102987.50719223024,99999.39310929646
27,2019-10-17,0,2,84129.52074203493,18844.107055664062,102973.627797699,100340.58021485782
28,2019-10-18,1,3,71585.84867630007,31361.080932617188,102946.92960891726,99943.208158069
29,2019-10-21,1,4,67395.17395172121,35382.69081115723,102777.86476287844,100539.85264008823
30,2019-10-22,0,4,67395.17395172121,35399.5906829834,102794.76463470461,100407.05447969478
31,2019-10-23,0,4,67395.17395172121,35366.57638549805,102761.75033721926,100535.52226758884
32,2019-10-24,1,5,63121.05783615114,39611.6325378418,102732.69037399294,100655.31480355038
33,2019-10-25,1,4,75650.41819686892,27111.887741088867,102762.30593795779,101415.95073217641
34,2019-10-28,0,4,75650.41819686892,27210.1863861084,102860.60458297732,101928.740818905
35,2019-10-29,0,4,75650.41819686892,27040.82679748535,102691.24499435427,101792.995648023
36,2019-10-30,2,4,74874.75655670169,27999.262619018555,102874.01917572024,102277.1736940561
37,2019-10-31,0,4,74874.75655670169,28011.77520751953,102886.53176422122,102017.2671140952
38,2019-11-01,0,4,74874.75655670169,28007.690048217773,102882.44660491946,103107.07440922587
39,2019-11-04,0,4,74874.75655670169,28135.324478149414,103010.0810348511,103783.69360405469
40,2019-11-05,1,3,79255.64092559817,23663.845443725586,102919.48636932376,103811.31964921253
41,2019-11-06,1,4,59410.63156890872,43568.52111816406,102979.15268707278,104009.9350200294
42,2019-11-07,0,4,59410.63156890872,43627.041244506836,103037.67281341556,104399.02408712533
43,2019-11-08,0,4,59410.63156890872,44015.56091308594,103426.19248199466,104778.30449209367
44,2019-11-11,0,4,59410.63156890872,44093.20945739746,103503.84102630618,104594.16705941336
45,2019-11-12,1,5,37613.45754852298,66048.97804260254,103662.43559112551,104729.90286486014
46,2019-11-13,0,5,37613.45754852298,65947.90496826172,103561.36251678469,104608.94607255654
47,2019-11-14,0,5,37613.45754852298,66370.6428527832,103984.10040130618,104625.87450144596
48,2019-11-15,2,5,34342.25136413577,69828.12881469727,104170.38017883303,105452.76892205347
49,2019-11-18,1,6,26254.06213836673,78174.38735961914,104428.44949798587,105371.48930291474
50,2019-11-19,0,6,26254.06213836673,77073.73352050781,103327.79565887454,105221.07182162153
51,2019-11-20,1,5,31502.293648529085,71799.83596801758,103302.12961654666,104946.10035373761
52,2019-11-21,1,6,18858.31914443973,84366.96472167969,103225.28386611943,104957.91066847739
53,2019-11-22,0,6,18858.31914443973,84899.41635131836,103757.7354957581,105175.20209223381
54,2019-11-25,1,5,30023.56825485233,74195.01647949219,104218.58473434452,105925.0178610316
55,2019-11-26,0,5,30023.56825485233,74416.20788574219,104439.77614059452,106002.07223150462
56,2019-11-27,1,6,13840.266805267369,90734.00268554688,104574.26949081424,106410.34811231107
57,2019-11-29,0,6,13840.266805267369,90691.59240722656,104531.85921249393,106040.98493028725
58,2019-12-02,0,6,13840.266805267369,89888.10424804688,103728.37105331424,105204.46784637074
59,2019-12-03,1,6,13840.266805267369,89443.02139282227,103283.28819808963,104438.8427938525
60,2019-12-04,0,6,13840.266805267369,89442.8596496582,103283.12645492557,105090.84516496712
61,2019-12-05,1,5,35301.39671249393,67986.95220947266,103288.3489219666,105199.27986528502
62,2019-12-06,1,6,27242.535434722933,76337.52136230469,103580.05679702762,106215.7702577948
63,2019-12-09,1,7,22133.631967926056,81466.82662963867,103600.45859756472,106062.3456426373
64,2019-12-10,1,6,30096.831671905547,73307.31811523438,103404.14978713992,105880.07632267819
65,2019-12-11,0,6,30096.831671905547,73041.04385375977,103137.87552566531,106155.51455257866
